code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
001		0					index		Home		0	The home page of this catalog							
002		0					login		Log In		0	Sign on!							0
003		0					logout		Log Out		0	Log out, remove your login cookie							1
004		1					logout	keep_values=1	Log out and keep name/address		0								
005		0					ord/basket		Your Cart		0								
006		1					ord/basket		View cart		0								
007		1					ord/basket	empty_cart=1	Empty cart		0								
008		0					ord/country		Checkout		0	Place the order...							
009		1					ord/country		Std		0	Multiple page checkout							
010		1					ord/checkout		Express		0	Simple one-page checkout form							
011		0					member/service		Service		0	Track orders, do returns, manage name/address, more							1
012		1					member/service		Dashboard		0	Find your account functions here.							1
013		1					query/check_orders		Order Tracking		0								1
014		1					member/returns		Order Returns		0	Get an RMA number for an order							1
015		1					member/account		Account Maintenance		0	Change name, address, email, etc.							1
016		1					member/change_password		Change Password		0								1
017		1					member/ship_addresses		Additional Shipping Addresses		1								1
018		1					member/saved_carts		Saved Carts/Recurring Orders		1								1
019		0					aboutus		About Us		0	More information on our company							
020		1					aboutus		Our Story		0								
021		1					contact		Contact us		0								
022		1					privacypolicy		Privacy Policy		0	Our Privacy Policy							
023		0							Language		0	Choose language							
024		1					process/locale/en_US/page/index		English		0	Select English							
025		1					process/locale/de_DE/page/index		Deutsch		0	Select German							
